project	file	line	member	english	chinese
Server.MirForms	Server.MirForms/Database/GameShop.designer.cs	283	TopItem_checkbox.Text	:Top Item	:置顶商品
Server.MirForms	Server.MirForms/Database/GameShop.designer.cs	296	DealofDay_checkbox.Text	:Sale Item	:特卖商品
Server.MirForms	Server.MirForms/Database/ItemInfoForm.Designer.cs	2076	Gameshop_button.Text	+ Gameshop	+ 商城
Server.MirForms	Server.MirForms/Database/ItemInfoFormNew.Designer.cs	353	Gameshop_button.Text	+ Gameshop	+ 商城
Server.MirForms	Server.MirForms/VisualMapInfo/Control/MineEntry.Designer.cs	54	Details.Text	Details	详情
LibraryEditor	LibraryEditor/LMain.Designer.cs	158	fileToolStripMenuItem.Text	File	文件
LibraryEditor	LibraryEditor/LMain.Designer.cs	165	newToolStripMenuItem.Text	New	新建
LibraryEditor	LibraryEditor/LMain.Designer.cs	174	openToolStripMenuItem.Text	Open	打开
LibraryEditor	LibraryEditor/LMain.Designer.cs	175	openToolStripMenuItem.ToolTipText	Open Shanda or Wemade files.	打开盛大或娱美德图档文件。
LibraryEditor	LibraryEditor/LMain.Designer.cs	187	openReferenceFileToolStripMenuItem.Text	Open Reference File	打开参考文件
LibraryEditor	LibraryEditor/LMain.Designer.cs	194	openReferenceImageToolStripMenuItem.Text	Open Reference Image	打开参考图像
LibraryEditor	LibraryEditor/LMain.Designer.cs	207	saveToolStripMenuItem.Text	Save	保存
LibraryEditor	LibraryEditor/LMain.Designer.cs	216	saveAsToolStripMenuItem.Text	Save As	另存为
LibraryEditor	LibraryEditor/LMain.Designer.cs	217	saveAsToolStripMenuItem.ToolTipText	.Lib Only.	仅 .Lib。
LibraryEditor	LibraryEditor/LMain.Designer.cs	230	closeToolStripMenuItem.Text	Close	关闭
LibraryEditor	LibraryEditor/LMain.Designer.cs	231	closeToolStripMenuItem.ToolTipText	Exit Application.	退出程序。
LibraryEditor	LibraryEditor/LMain.Designer.cs	240	functionsToolStripMenuItem.Text	Functions	功能
LibraryEditor	LibraryEditor/LMain.Designer.cs	247	copyToToolStripMenuItem.Text	Copy To..	复制到..
LibraryEditor	LibraryEditor/LMain.Designer.cs	248	copyToToolStripMenuItem.ToolTipText	Copy to a new .Lib or to the end of an exsisting one.	复制到新 .Lib 或追加到现有 .Lib 末尾。
LibraryEditor	LibraryEditor/LMain.Designer.cs	256	countBlanksToolStripMenuItem.Text	Count Blanks	统计空白帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	266	removeBlanksToolStripMenuItem.Text	Remove Blanks	移除空白帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	267	removeBlanksToolStripMenuItem.ToolTipText	Quick removal of blanks.	快速移除空白帧。
LibraryEditor	LibraryEditor/LMain.Designer.cs	275	safeToolStripMenuItem.Text	Safe	安全模式
LibraryEditor	LibraryEditor/LMain.Designer.cs	276	safeToolStripMenuItem.ToolTipText	Use the safe method of removing blanks.	使用安全方式移除空白帧。
LibraryEditor	LibraryEditor/LMain.Designer.cs	284	convertToolStripMenuItem.Text	Converter	转换器
LibraryEditor	LibraryEditor/LMain.Designer.cs	294	populateFramesToolStripMenuItem.Text	Populate Frames	填充帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	301	defaultMonsterFramesToolStripMenuItem.Text	Default Monster Frames	默认怪物帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	309	defaultNPCFramesToolStripMenuItem.Text	Default NPC Frames	默认 NPC 帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	317	defaultPlayerFramesToolStripMenuItem.Text	Default Player Frames	默认玩家帧
LibraryEditor	LibraryEditor/LMain.Designer.cs	325	autofillFromCodeToolStripMenuItem.Text	AutoFill From Code	从代码自动填充
LibraryEditor	LibraryEditor/LMain.Designer.cs	332	importShadowsToolStripMenuItem.Text	Import Shadows	导入阴影
LibraryEditor	LibraryEditor/LMain.Designer.cs	341	skinToolStripMenuItem.Text	Skin	皮肤
LibraryEditor	LibraryEditor/LMain.Designer.cs	439	BulkButton.Text	Bulk Offset	批量偏移
LibraryEditor	LibraryEditor/LMain.Designer.cs	450	checkBox1.Text	Apply Offsets	应用偏移
LibraryEditor	LibraryEditor/LMain.Designer.cs	465	groupBox1.Text	View Mode	查看模式
LibraryEditor	LibraryEditor/LMain.Designer.cs	475	RButtonOverlay.Text	Overlay	叠加
LibraryEditor	LibraryEditor/LMain.Designer.cs	489	RButtonImage.Text	Image	图像
LibraryEditor	LibraryEditor/LMain.Designer.cs	503	checkboxRemoveBlackOnImport.Text	Remove Black On Import	导入时移除黑色
LibraryEditor	LibraryEditor/LMain.Designer.cs	525	checkBoxPreventAntiAliasing.Text	No Anti-aliasing	禁用抗锯齿
LibraryEditor	LibraryEditor/LMain.Designer.cs	537	checkBoxQuality.Text	No Blurring	禁用模糊
LibraryEditor	LibraryEditor/LMain.Designer.cs	580	buttonReplace.Text	Replace Image	替换图像
LibraryEditor	LibraryEditor/LMain.Designer.cs	622	ExportButton.Text	Export Images	导出图像
